NetScore	Delta_passing_attempts_MA5	Delta_passing_completions_MA5	Delta_passing_yards_MA5	Delta_passing_rating_MA5	Delta_passing_touchdowns_MA5	Delta_passing_interceptions_MA5	Delta_passing_sacks_MA5	Delta_passing_sacks_yards_lost_MA5	Delta_rushing_attempts_MA5	Delta_rushing_yards_MA5	Delta_rushing_touchdowns_MA5	Delta_receiving_targets_MA5	Delta_receiving_receptions_MA5	Delta_receiving_yards_MA5	Delta_receiving_touchdowns_MA5	Delta_kick_return_attempts_MA5	Delta_kick_return_yards_MA5	Delta_kick_return_touchdowns_MA5	Delta_punt_return_attempts_MA5	Delta_punt_return_yards_MA5	Delta_punt_return_touchdowns_MA5	Delta_defense_sacks_MA5	Delta_defense_tackles_MA5	Delta_defense_tackle_assists_MA5	Delta_defense_interceptions_MA5	Delta_defense_interception_yards_MA5	Delta_defense_interception_touchdowns_MA5	Delta_defense_safeties_MA5	Delta_point_after_attemps_MA5	Delta_point_after_makes_MA5	Delta_field_goal_attempts_MA5	Delta_field_goal_makes_MA5	Delta_punting_attempts_MA5	Delta_punting_yards_MA5	Delta_punting_blocked_MA5	Delta_Score_MA5	NA	NA
-27	ARI1997-10-26TEN	1997-10-26	4	10.4	32.8	-26.32	0.4	1.2	1.6	-15.4	-8.2	-68.6	-0.6	9	4	32.8	0.4	2.4	52.8	0	0.8	-0.4	0	-1.6	0	0	-1.2	-16.4	0	0	-0.8	-0.6	-1.6	-1.6	0	-1.6	-0.2	-7.6
10	ARI1997-11-02PHI	1997-11-02	3.2	6.6	15.4	-17.32	-0.2	0.6	2.4	-16.2	-7.8	-69.2	0	7.2	3.2	15.4	-0.2	1.6	40.4	-0.2	0.8	10.6	0	-2.4	0	0	-0.6	3.8	0	0	-0.8	-0.6	-0.8	-1	-0.2	-9.6	-0.2	-5.8
-6	ARI1997-11-30PIT	1997-11-30	1.8	3.6	23.2	12.84	-0.2	0.6	4	-14.2	-12.4	-72.2	-0.8	4.2	1.8	23.2	-0.2	1.8	42	-0.2	-0.4	3.6	0	-4	0	0	-0.6	3.8	0	0	-1	-0.8	0.4	-0.2	0	2	-0.2	-7.6
-10	ARI1997-12-07WAS	1997-12-07	2.6	4.6	45.2	11.64	0.2	1.2	4.6	-10.8	-16	-94	-0.8	4.4	2.6	45.2	0.2	2.6	60.8	-0.2	-0.8	-10	-0.2	-4.6	0	0	-1.2	-8	0	0	-1	-0.8	-0.4	-0.8	0	17.8	-0.2	-9.4
3	ARI1997-12-21ATL	1997-12-21	2	4.6	44.6	2.94	0.6	0.8	3.6	-10.4	-14	-76.2	-0.4	4	2	44.6	0.6	2.8	76	-0.2	-1	-16.4	-0.2	-3.6	0	0	-0.8	-9	0	0	-0.4	-0.4	-0.8	-1.2	0.2	28	0	-6
14	ARI1998-09-20PHI	1998-09-20	-1.2	-1.8	9.4	19.66	0.8	-0.2	2.4	-13.8	-12	-55.4	0.2	-1.8	-1.2	9.4	0.8	1.2	31.8	-0.2	-0.6	-8.6	-0.2	-2.4	0	0	0.2	7.8	0	0	0.6	0.6	-0.2	-0.8	0.8	39.8	0	2.2
-3	ARI1998-10-04OAK	1998-10-04	1.4	2.2	49.6	9.26	1.4	0.6	1.8	-8.8	-15.6	-67	-0.4	1.4	1.4	49.6	1.4	2.2	67	0	-0.6	-19.8	-0.2	-1.8	0	0	-0.6	-17.2	0	0	0.4	0.4	-0.8	-1.2	0.8	43.4	0	-0.4
13	ARI1998-10-11CHI	1998-10-11	2.2	3.2	8.2	-25.84	0.8	0.2	0	-8	-5.4	-26.8	0.6	3	2.2	8.2	0.8	1.4	60.2	0	0.4	-13	-0.2	0	0	0	-0.2	-15.2	0	0	0.6	0.6	-0.4	-0.8	0.4	28.8	0.2	3.4
2	ARI1998-11-08WAS	1998-11-08	3	1.8	-13.4	-22.02	0.6	0	-0.6	-6.2	-0.2	9.2	0.6	2	3	-13.4	0.6	0.2	31.2	0	0.4	-6.2	0	0.6	0	0	0	-10.2	0	0	0.8	0.8	-0.2	-0.6	0.6	27.8	0.2	5.8
-7	ARI1998-11-15DAL	1998-11-15	5.2	5.6	25.8	-17.94	0.8	0	0.2	-1	1.4	11	-0.2	6.6	5.2	25.8	0.8	0	11.2	0	0.8	2.6	0	-0.2	0	0	0	-11.6	0	0	0.4	0.4	0.8	0.2	-0.4	-16.2	0.2	3.8
-4	ARI1998-12-06NYG	1998-12-06	8.2	11.2	75.4	-4.00000000000001	0.6	0.2	1	6.8	-1.6	-26.4	-0.4	12	8.2	75.4	0.6	0.6	37.6	0	0.8	4	0	-1	0	0	-0.2	-13	0	0	0	0	0.2	-0.2	-0.4	-25.4	0.2	0.2
2	ARI1998-12-20NOR	1998-12-20	8.2	10	83.6	0.699999999999989	0	0	0.2	-1	1.8	-6.4	0	10.2	8.2	83.6	0	-0.4	-0.2	0	1.2	9.6	0	-0.2	0	0	0	-11.2	0	0	-0.2	-0.2	1	0.6	-1	-61	0.2	1.2
3	ARI1998-12-27SDG	1998-12-27	8.6	10.8	113.6	10.3	0	-0.4	0.8	4.6	-6.6	-50.6	-0.2	10.8	8.6	113.6	0	0.2	19.4	0	0.2	5.4	0	-0.8	0	0	0.4	-6	0	0	-0.4	-0.4	1	0.4	-0.4	-38	0	-0.8
-14	ARI1999-09-27SFO	1999-09-27	7.2	11.8	123.8	-15.64	-0.2	-0.2	1.4	6.8	-10.2	-92	-0.4	11.8	7.2	123.8	-0.2	0.6	22.8	0	0.8	13	0	-1.4	0	0	0.2	-13.2	0	0	-0.8	-0.8	1	0.4	-0.8	-58.8	0	-4
11	ARI1999-10-10NYG	1999-10-10	2.4	2	71.4	14.4	-0.4	-0.6	1	3	-7.6	-84.4	0.4	2	2.4	71.4	-0.4	-0.4	9.2	0	0.2	3.8	0	-1	0	0	0.6	-8.6	0	0	-0.2	-0.2	0.8	0.2	0.4	-10.6	0	-0.4
-14	ARI1999-10-17WAS	1999-10-17	-0.4	-0.8	41.2	14.08	-0.4	-0.4	0.8	2	-7.2	-79.4	0.2	-1	-0.4	41.2	-0.4	-0.8	-9.2	0	-0.4	2	0	-0.8	0	0	0.4	-17.4	0	0	-0.6	-0.6	1.2	0.6	0.4	5.4	0	-2.4
-24	ARI1999-10-31NWE	1999-10-31	-2	2.4	-17.6	-4.54000000000002	-1	-0.2	1.2	5.2	-12.8	-100	0	2.4	-2	-17.6	-1	0.4	28	0	-0.8	7	0	-1.2	0	0	0.2	-8.6	0	0	-1	-1.2	0.8	0.2	0.8	46	0	-7.6
4	ARI1999-11-14DET	1999-11-14	-4.4	0.4	-62.8	-20.34	-1.2	0.6	0.4	-2.2	-5.6	-46.8	0.2	-0.2	-4.4	-62.8	-1.2	0.2	18.6	0	-0.2	12.6	0	-0.4	0	0	-0.6	-15.8	0	0	-0.8	-1	1	0.6	0	14.8	0	-7.4
4	ARI1999-11-21DAL	1999-11-21	-4.6	0	-72.8	-6.14000000000002	-1	0.8	-0.4	-5.4	-5	-35.8	0.4	-0.8	-4.6	-72.8	-1	-0.4	13.8	0	-0.6	12.4	0	0.4	0	0	-0.8	-9	0	0	-0.4	-0.6	1.2	1	0	14.4	0	-3.8
4	ARI1999-12-05PHI	1999-12-05	-3	3.6	-67.4	-23.7	-1.4	1	-0.6	-5.6	-8.4	-39	0.4	2.6	-3	-67.4	-1.4	-0.2	17.4	0	0	18.4	0	0.6	0	0	-1	0.8	0	0	-0.6	-0.8	1	1	-0.8	-13.8	0	-5.2
-10	ARI1999-12-19BUF	1999-12-19	-4.2	2.6	-85	-34.46	-1.6	0.6	-0.8	-8.6	-9.6	-36.8	0.8	2	-4.2	-85	-1.6	0.2	26.2	-0.2	0.4	22.8	0	0.8	0	0	-0.6	16.4	0	0	-0.4	-0.6	0.8	0.8	-0.4	0.6	0	-4.4
1	ARI2000-09-10DAL	2000-09-10	-5.2	-2.8	-52	-14.26	-1	0.2	-0.2	-3.2	-2.6	-22	1	-3.6	-5.2	-52	-1	-0.8	7.6	-0.2	0	2.2	-0.2	0.2	0	0	-0.2	15.4	0	0	-0.2	-0.2	1.2	1.2	-0.2	-6.4	0	0.6
-26	ARI2000-09-24GNB	2000-09-24	-3	1.2	-38.6	-44.48	-0.8	1	0.2	0.4	-10.8	-75	0.4	0.2	-3	-38.6	-0.8	0.4	35.8	-0.2	-0.6	-4.8	-0.2	-0.2	0	0	-1	10.6	0	0	-0.8	-0.8	-0.4	-0.2	1	51	0	-5.4
8	ARI2000-10-08CLE	2000-10-08	-2.2	2.8	-32.8	-35.82	-0.4	0.6	0.2	0.2	-10	-55.8	0	2.2	-2.2	-32.8	-0.4	0.4	37.4	-0.2	-0.2	-8.8	-0.2	-0.2	0	0	-0.6	11	0	0	-1	-1	-0.2	0	0.4	34	0	-4.6
-19	ARI2000-10-15PHI	2000-10-15	-3.6	0.4	-39.8	-52.66	0	1	-0.2	0.6	-11.2	-52.2	-0.8	0	-3.6	-39.8	0	1.4	55	-0.2	-0.2	-6.4	-0.2	0.2	0	0	-1	-7.4	0	0	-1.4	-1.6	-0.4	-0.2	0.6	34.8	0	-9.2
-11	ARI2000-10-29NOR	2000-10-29	0.4	5	8.6	-48.14	0.2	1.4	0	5	-7.6	-27.2	-1.2	3.8	0.4	8.6	0.2	1.2	55	0	-0.2	-12.4	-0.2	0	0	0	-1.4	-21.2	0	0	-1.6	-1.8	0.2	0.2	-0.6	-22	0	-9.4
1	ARI2000-11-05WAS	2000-11-05	0	3	-17.4	-48.64	0.4	1.2	-0.4	0.8	-12.4	-52.6	-1.4	2.2	0	-17.4	0.4	1.6	68.4	0	-0.4	-0.8	0	0.4	0	0	-1.2	-22.4	0	0	-1	-1.2	-1	-0.8	0	9.6	0	-9.4
-24	ARI2000-11-26NYG	2000-11-26	-0.6	2.6	-1.8	-2.10000000000002	0.6	0.6	0.6	6	-12.6	-34.6	-1.8	1.8	-0.6	-1.8	0.6	1.4	64.2	0	-0.2	2.2	0	-0.4	0	0	-0.6	-18.4	0	0	-1.2	-1.4	-0.4	-0.2	-0.6	-20.4	0	-9
-6	ARI2000-12-17BAL	2000-12-17	1.4	5.2	30.8	0.379999999999981	0.4	0.8	0.2	1	-15.4	-68.2	-1.6	4.4	1.4	30.8	0.4	2.4	78.8	0	-0.6	-3.2	0	0	0	0	-0.8	-32.8	0	0	-1	-1.2	-1	-1.2	-0.4	-8	0	-11.8
-21	ARI2001-09-23DEN	2001-09-23	1.4	5.6	33.4	4.09999999999998	-0.2	0.6	1	3.2	-14.4	-66	-1	5	1.4	33.4	-0.2	2.6	84.4	0	-0.4	-1.4	0	-0.8	0	0	-0.6	-28.6	0	0	-1	-1	-1	-1.2	-0.2	-4	0	-12.2
-20	ARI2001-09-30ATL	2001-09-30	0	2.8	7	-8.44000000000002	-0.6	1	1.2	3.6	-17.8	-77.4	-0.8	3.2	0	7	-0.6	3	88	0	-1	-11.6	0	-1	0	0	-1	-29	0	0	-1	-1	-1.6	-1.8	0.2	20.6	0	-14
8	ARI2001-10-21KAN	2001-10-21	0.6	3	8.2	-2.24000000000002	-0.6	0.8	1.2	2.2	-11.8	-50.4	-0.4	3.6	0.6	8.2	-0.6	3	79.6	0	-0.6	-14	0	-1	0	0	-0.8	-23.4	0	0	-0.8	-0.8	-1.4	-1.8	-0.4	-5.2	0	-12.6
-14	ARI2001-11-04PHI	2001-11-04	1.6	2.8	23.4	-13.4	-0.8	0.6	0.2	-2	-6.6	-50	0.2	4	1.6	23.4	-0.8	2.4	42.2	-0.2	-0.4	-15.8	0	-0.2	0	0	-0.6	-23	0	0	-0.6	-0.6	-1.2	-1.6	-0.6	-29	0	-10.6
-7	ARI2001-11-11NYG	2001-11-11	-1	-1	-12.4	-19.08	-1	0.4	0.6	9	-7	-46.4	0.2	0.4	-1	-12.4	-1	2.4	45	-0.2	-0.6	-11.8	0	-0.6	0	0	-0.4	-6	0	0	-0.8	-0.8	-1.2	-1.2	1	29.8	0	-10.8
7	ARI2001-11-18DET	2001-11-18	-2.8	-6.2	-32.8	-0.720000000000016	-0.4	-0.2	0.4	6.8	-2.4	-25.8	0	-4.2	-2.8	-32.8	-0.4	0.8	20.2	-0.2	-1	-13.4	0	-0.4	0	0	0.2	2	0	0	-0.4	-0.4	-0.8	-0.8	1.2	36.4	0	-5.2
-10	ARI2001-12-09WAS	2001-12-09	-3.2	-6	-22.2	8.59999999999999	0	-0.6	0	3.8	-1.2	-31.6	-0.2	-4.2	-3.2	-22.2	0	0.8	18.6	-0.2	-1	-11.4	0	0	0	0	0.6	1.8	0	0	-0.2	-0.2	-1	-0.6	1.6	45.8	0	-3.2
7	ARI2001-12-23DAL	2001-12-23	-2	-1.8	-3.8	-6.08000000000002	-0.2	-0.6	0.2	6.8	-8.6	-54.6	-0.4	0	-2	-3.8	-0.2	0.6	14.8	-0.2	-1.2	-17	0	-0.2	0	0	0.6	3.8	0	0	-0.4	-0.4	-0.6	-0.2	2.4	77.6	0	-3.4
-8	ARI2002-09-22SDG	2002-09-22	-3.2	-2.4	-5.2	-3.80000000000001	0.4	-0.4	0.4	8.4	-11.6	-49	-0.8	-0.8	-3.2	-5.2	0.4	-0.2	13	0	-1.2	-17.8	0	-0.4	0	0	0.4	-6.4	0	0	-0.4	-0.4	-0.8	-0.2	2	83.2	0.2	-2.2
14	ARI2002-09-29NYG	2002-09-29	-2	-3.6	-14.8	7.77999999999999	0.6	-0.8	0.4	3.2	-4.6	-20.4	-0.6	-2.2	-2	-14.8	0.6	-1	-6.2	0	-1	-19.4	0	-0.4	0	0	0.8	3	0	0	0.2	0.2	-0.4	-0.2	1	42.2	0.2	2
3	ARI2002-10-20DAL	2002-10-20	3	7	11.6	-2.00000000000002	0.2	-1.2	0	2.6	-5	-27.6	-0.4	7.4	3	11.6	0.2	-0.6	-7	0	0	-12.4	0	0	0	0	1.2	-0.2	0	0	0	0	0.6	0.4	0.6	35.4	0.2	1.2
-13	ARI2002-11-03STL	2002-11-03	2.6	5.6	-7.4	1.93999999999998	0	-1.6	0.2	3	-5.8	-43.2	-0.4	5.6	2.6	-7.4	0	-0.6	-6.2	0	0.6	-3	0	-0.2	0	0	1.6	9.4	0	0	0	0	0.4	0.2	0.8	47.6	0.2	0.6
-21	ARI2002-11-10SEA	2002-11-10	1.2	4.8	-7.8	-2.94000000000001	0	-0.8	0	1.4	-3.2	-31.4	-1	4	1.2	-7.8	0	0.2	-1.6	0	1.2	9.4	0	0	0	0	0.8	2.4	0	0	-0.8	-0.8	0.4	0.2	-0.2	2.2	0.2	-5
-21	ARI2002-11-24OAK	2002-11-24	-0.8	1.6	-56.4	-11.86	-0.6	-0.8	0	0.4	-4	-36.8	-0.8	0.8	-0.8	-56.4	-0.6	1.4	21.2	0	0.8	10.2	0	0	0	0	0.8	12.6	0	0	-1	-1	0.2	-0.2	0.8	40	0	-7.6
3	ARI2002-12-08DET	2002-12-08	-0.8	3.2	-35	-36.74	-0.6	-0.2	1.2	9.2	-4.6	-27.4	-0.8	2.6	-0.8	-35	-0.6	2	21	0	0.6	-5	-0.2	-1.2	0	0	0.2	-5.6	0	0	-1.4	-1.4	0	0	1	54.8	0	-9.8
-3	ARI2002-12-21SFO	2002-12-21	-4.2	-4.2	-70.4	-35.86	-0.2	0.6	2.2	15.8	-6.8	-27.8	-1	-4.4	-4.2	-70.4	-0.2	2.4	22.6	0	-0.2	-11.4	-0.2	-2.2	0	0	-0.6	-11.6	0	0	-1.4	-1.4	-1.4	-0.8	1.4	69.6	0	-11
-38	ARI2003-09-14SEA	2003-09-14	-1	0.6	-58	-65.04	-0.4	1.6	2.2	17.8	-4.6	-9.6	-1.2	0.8	-1	-58	-0.4	2.6	39.4	0	-0.6	-20.6	-0.2	-2.2	0	0	-1.6	-15	0	0	-2.2	-2.2	-0.8	-0.6	0.8	55.2	0	-16
7	ARI2003-09-21GNB	2003-09-21	-0.4	0.6	-45.6	-53.8	-0.2	1.2	2.4	18.8	-1.6	1.4	-0.6	0.6	-0.4	-45.6	-0.2	1.4	21	0	-1.4	-34.6	-0.2	-2.4	0	0	-1.2	-11.4	0	0	-1.4	-1.4	-0.8	-0.6	1	73.4	0	-10.4
-8	ARI2003-10-12BAL	2003-10-12	4.4	6.4	27.8	-44.48	0.4	1.6	2.4	20.2	-1.8	-12.2	-0.4	6.2	4.4	27.8	0.4	1.6	35.8	0	-0.8	-31.8	-0.2	-2.4	0	0	-1.6	-35	0	0	-1	-1	-1	-0.8	0.2	38.4	0.2	-7.8
3	ARI2003-10-26SFO	2003-10-26	3.4	5	1	-41.78	0.2	1.6	1	10.2	-1.6	-5.6	-0.4	4.6	3.4	1	0.2	1.6	48.4	0	-1	-17.8	0	-1	0	0	-1.6	-28.8	0	0	-1	-1	-0.2	-0.4	0	25.2	0	-7.8
3	ARI2003-11-02CIN	2003-11-02	4.2	5.6	20	-33.52	0.2	1.2	0.2	8.4	4	16.6	-0.4	5.4	4.2	20	0.2	1.2	50	0	-0.4	-19.2	0	-0.2	0	0	-1.2	-19.2	0	0	-1	-1	0.6	0	-0.4	8.6	0	-6.6
-3	ARI2003-11-23STL	2003-11-23	-1.4	-2.6	-9.4	8.75999999999999	0.8	0	-0.8	0.2	6	33.8	-0.2	-3	-1.4	-9.4	0.8	0	16.4	0	0.2	-6.8	0	0.8	0	0	0	-8.8	0	0	0	0	0.4	0	-0.2	-1	0	0.4
-3	ARI2003-12-14CAR	2003-12-14	-2	-3.6	-27.8	4.17999999999999	0.6	0	0	4.4	8.6	51.6	0	-3.8	-2	-27.8	0.6	0.8	30.2	0	0.6	2	0	0	0	0	0	-14.6	0	0	-0.2	-0.2	0.4	-0.2	-0.2	-11	0	-1.6
1	ARI2003-12-28MIN	2003-12-28	-4.2	-6.2	-56.8	4.59999999999999	0.4	-0.6	1.2	14.4	9.4	59	-0.2	-6.6	-4.2	-56.8	0.4	0.4	16.4	0	-0.2	-1.8	0	-1.2	0	0	0.6	14.8	0	0	-0.4	-0.4	1	0.6	0.6	19.2	-0.2	0.2
-11	ARI2004-09-19NWE	2004-09-19	-4.4	-5	-57	8.07999999999999	0	-0.8	2	21	0.8	11.6	0	-5.4	-4.4	-57	0	1	29.2	0	-0.6	-2.8	0	-2	0	0	0.8	22.4	0	0	-0.8	-0.8	0.2	-0.2	0.8	26.4	0	-2.6
